"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"capric acid","Capric acid","HMDB0000511","2969","C01571","CCCCCCCCCC(O)=O","1"
"d-mannose","D-Mannose","HMDB0000169","185698","C00159","OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"se-methylselenocysteine","Se-Methylselenocysteine","HMDB0004113","147004","C05689","C[Se]C[C@H](N)C(O)=O","1"
"6-methylmercaptopurine","6-Methylmercaptopurine","HMDB0060412","5778","C16614","CSC1=NC=NC2=C1N=CN2","1"
"indolelactic acid","Indolelactic acid","HMDB0000671","676157","C02043","O[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"d-glucuronic acid","D-Glucuronic acid","HMDB0000127","444791","C00191","O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O","1"
"citrulline","Citrulline","HMDB0000904","9750","C00327","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"d-glycero-d-galacto-heptitol","D-Glycero-D-galacto-heptitol","HMDB0033750","101748","C08255","OCC(O)C(O)C(O)C(O)C(O)CO","1"
"3-(2-hydroxyphenyl)propanoic acid","3-(2-Hydroxyphenyl)propanoic acid","HMDB0033752","873","C01198","OC(=O)CCC1=CC=CC=C1O","1"
"(r)-5,6-dihydrothymine","(R)-5,6-Dihydrothymine",NA,"254816253","C21028",NA,"1"
"l-malic acid","Malic acid","HMDB0000156","222656","C00149","O[C@@H](CC(O)=O)C(O)=O","1"
"mupirocin","Mupirocin","HMDB0014554","446596","C11758","C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](C\C(C)=C\C(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O","1"
"gluconic acid","Gluconic acid","HMDB0000625","10690","C00257","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"tetrahydrodipicolinate","Tetrahydrodipicolinate","HMDB0012289","440179","C03972","OC(=O)[C@@H]1CCCC(=N1)C(O)=O","1"
"4-quinolinecarboxylic acid","NA","NA","NA","NA","NA","0"
"n-acetyl-l-aspartic acid","N-Acetyl-L-aspartic acid","HMDB0000812","65065","C01042","CC(=O)N[C@@H](CC(O)=O)C(O)=O","1"
"ornithine","Ornithine","HMDB0000214","6262","C00077","NCCC[C@H](N)C(O)=O","1"
"prostaglandin f2a","Prostaglandin F2a","HMDB0001139","5283078","C00639","CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C\CCCC(O)=O","1"
"l-dopa","DOPA","HMDB0000181","6047","C00355","N[C@@H](CC1=CC=C(O)C(O)=C1)C(O)=O","1"
"neocnidilide","Neocnidilide","HMDB0034450","5018391","C17002","CCCCC1OC(=O)C2=CCCCC12","1"
"d-galactose","D-Galactose","HMDB0000143","439357","C00124","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"n-acetylglutamic acid","N-Acetyl-L-glutamic acid","HMDB0001138","70914","C00624","CC(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"6-hydroxyhexanoic acid","6-Hydroxyhexanoic acid","HMDB0012843","14490","C06103","OCCCCCC(O)=O","1"
"benzeneacetonitrile","Benzeneacetonitrile","HMDB0034171","8794","C16074","N#CCC1=CC=CC=C1","1"
"2,4-dinitrotoluene","NA","NA","NA","NA","NA","0"
"sphingosine","Sphingosine","HMDB0000252","5280335","C00319","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO","1"
"phenylacetylglutamine","Phenylacetylglutamine","HMDB0006344","92258","C04148","NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O","1"
"11-dehydrocorticosterone","11-Dehydrocorticosterone","HMDB0004029","13783449","C05490","[H][C@@]12CCC(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"adenine","Adenine","HMDB0000034","190","C00147","NC1=C2NC=NC2=NC=N1","1"
"2-isopropylmalic acid","2-Isopropylmalic acid","HMDB0000402","5280523","C02504","CC(C)[C@@](O)(CC(O)=O)C(O)=O","1"
"salidroside","NA","NA","NA","NA","NA","0"
"citramalic acid","Citramalic acid","HMDB0000426","1081","C00815","CC(O)(CC(O)=O)C(O)=O","1"
"withaferin a","Withaferin A","HMDB0259897","580064","C08841","CC(C1CCC2C3CC4OC44C(O)C=CC(=O)C4(C)C3CCC12C)C1CC(C)=C(CO)C(=O)O1","1"
"13,14-dihydro-15-keto-pge2","13,14-Dihydro-15-keto-PGE2","HMDB0002776","5280711","C04671","CCCCCC(=O)CC[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O","1"
"glutaric acid","Glutaric acid","HMDB0000661","743","C00489","OC(=O)CCCC(O)=O","1"
"n-acetylneuraminic acid","N-Acetylneuraminic acid","HMDB0000230","445063","C19910","[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO","1"
"9-oxoode","9-OxoODE","HMDB0004669","9839084","C14766","CCCCC\C=C/C=C/C(=O)CCCCCCCC(O)=O","1"
"all-trans-retinoic acid","all-trans-Retinoic acid","HMDB0001852","444795","C00777","C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O","1"
"l-phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"d-synephrine","D-synephrine","HMDB0062811","854067","C01869","CNC[C@H](O)C1=CC=C(O)C=C1","1"
"l-glutamic gamma-semialdehyde","L-Glutamic gamma-semialdehyde","HMDB0002104","193305","C01165","N[C@@H](CCC=O)C(O)=O","1"
"aniline","Aniline","HMDB0003012","6115","C00292","NC1=CC=CC=C1","1"
"anhalamine","NA","NA","NA","NA","NA","0"
"thymine","Thymine","HMDB0000262","1135","C00178","CC1=CNC(=O)NC1=O","1"
"5-oxoavermectin ''1b'' aglycone","5-Oxoavermectin ''1b'' aglycone",NA,"14123","C11962",NA,"1"
"hypoxanthine","Hypoxanthine","HMDB0000157","790","C00262","OC1=NC=NC2=C1NC=N2","1"
"(s)-piperidine-2-carboxamide","NA","NA","NA","NA","NA","0"
"5'-oxoinosine","NA","NA","NA","NA","NA","0"
"sphinganine","Sphinganine","HMDB0000269","91486","C00836","CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO","1"
"ethylmethylacetic acid","Ethylmethylacetic acid","HMDB0002176","8314","C18319","CCC(C)C(O)=O","1"
"theobromine","Theobromine","HMDB0002825","5429","C07480","CN1C=NC2=C1C(O)=NC(=O)N2C","1"
"alpha-d-glucose","alpha-D-Glucose","HMDB0003345","79025","C00267","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"d-xylitol","D-Xylitol","HMDB0002917","6912","C00379","OC[C@H](O)[C@@H](O)[C@H](O)CO","1"
"s-hexyl-glutathione","NA","NA","NA","NA","NA","0"
"3-methyl-l-tyrosine","NA","NA","NA","NA","NA","0"
"lysopa(16:0/0:0)","NA","NA","NA","NA","NA","0"
"sinapyl alcohol","Sinapyl alcohol","HMDB0013070","5280507","C02325","COC1=CC(\C=C\CO)=CC(OC)=C1O","1"
"1d-myo-inositol 1,4,5,6-tetrakisphosphate","D-myo-Inositol 1,4,5,6-tetrakisphosphate","HMDB0004527","443266","C11555","O[C@H]1[C@@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@@H]1OP(O)(O)=O","1"
"sucrose","Sucrose","HMDB0000258","5988","C00089","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
