"","Fold Change","log2(FC)"
"Salidroside",3.2038,1.6798
"S-Hexyl-glutathione",3.1596,1.6598
"Ketoleucine",0.31696,-1.6576
"Quinate",3.1173,1.6403
"Sulfate",0.32874,-1.605
"Indolelactic acid",2.9966,1.5833
"8-Amino-7-oxononanoate",2.9902,1.5803
"Ribose 1,5-bisphosphate",2.975,1.5729
"Abscisic aldehyde",0.33744,-1.5673
"2,3-Butanediol",0.34386,-1.5401
"Retinoyl b-glucuronide",0.34612,-1.5306
"3-(2-Hydroxyphenyl)propanoic acid",2.8305,1.5011
"Hypoxanthine",2.8282,1.4999
"L-Lactic acid",0.35677,-1.4869
"Acetylphosphate",0.35818,-1.4812
"3-Methyl-L-tyrosine",2.7563,1.4627
"Diethylphosphoric acid",0.36575,-1.4511
"L-Glutamic gamma-semialdehyde",2.7147,1.4408
"L-Phenylalanine",2.6783,1.4213
"3-(3,4-Dihydroxyphenyl)pyruvate",0.37809,-1.4032
"Benzeneacetonitrile",2.5989,1.3779
"Dammarenediol II",0.38889,-1.3626
"L-2,4-diaminobutyric acid",2.5479,1.3493
"13,14-Dihydro-15-keto-PGE2",2.5374,1.3433
"N-Acetyl-L-glutamate 5-semialdehyde",0.39626,-1.3355
"2-Ketobutyric acid",2.4855,1.3135
"4-Hydroxycinnamoylagmatine",2.4826,1.3119
"Ribitol",0.40399,-1.3076
"Tamoxifen",0.40506,-1.3038
"Butyric acid",0.40684,-1.2975
"1-palmitoylglycerophosphocholine",0.40938,-1.2885
"(S)-Methylmalonic acid semialdehyde",2.3729,1.2466
"Prostaglandin-c2",0.42701,-1.2276
"(R)-5,6-Dihydrothymine",2.3132,1.2099
"Hydroxyindole",0.43305,-1.2074
"Phosphorylcholine",0.44835,-1.1573
"L-Valine",0.45285,-1.1429
"N-Acetylneuraminic acid",2.1809,1.1249
"D-Octopine",0.45995,-1.1204
"Quinolinic acid",2.1373,1.0958
"(S)-Piperidine-2-carboxamide",2.1339,1.0935
"11-Dehydrocorticosterone",2.1258,1.088
"L-Aspartic acid",0.47243,-1.0818
"2,4-Dinitrotoluene",2.114,1.08
"5'-Oxoinosine",2.0926,1.0653
"Uridine",2.0879,1.062
"Se-Methylselenocysteine",2.0862,1.0609
"gamma-Glutamylcysteine",2.085,1.0601
"4-Quinolinecarboxylic acid",2.082,1.058
"Bupropion",0.482,-1.0529
"N-Acetyl-D-glucosamine",0.48666,-1.039
"Aspartame",2.0532,1.0379
"Sucrose",2.0393,1.0281
"Glutaric acid",2.0288,1.0206
"Neocnidilide",2.0213,1.0153
"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate",2.0206,1.0148
"2-Keto-glutaramic acid",2.0188,1.0135
"Bovinic acid",0.49755,-1.0071
