"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"12,13-dhome","12,13-DHOME","HMDB0004705","25320870","C14829","CCCCC[C@H](O)[C@@H](O)C\C=C/CCCCCCCC(O)=O","1"
"l-2,4-diaminobutyric acid","L-2,4-diaminobutyric acid","HMDB0006284","134490","C03283","NCC[C@H](N)C(O)=O","1"
"glyceric acid","Glyceric acid","HMDB0000139","439194","C00258","OC[C@@H](O)C(O)=O","1"
"2-ketobutyric acid","2-Ketobutyric acid","HMDB0000005","58","C00109","CCC(=O)C(O)=O","1"
"capric acid","Capric acid","HMDB0000511","2969","C01571","CCCCCCCCCC(O)=O","1"
"d-mannose","D-Mannose","HMDB0000169","185698","C00159","OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"se-methylselenocysteine","Se-Methylselenocysteine","HMDB0004113","147004","C05689","C[Se]C[C@H](N)C(O)=O","1"
"gentisic acid","Gentisic acid","HMDB0000152","3469","C00628","OC(=O)C1=C(O)C=CC(O)=C1","1"
"hydroxyindole","NA","NA","NA","NA","NA","0"
"diaminopimelic acid","Diaminopimelic acid","HMDB0001370","439283","C00666","N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O","1"
"6-methylmercaptopurine","6-Methylmercaptopurine","HMDB0060412","5778","C16614","CSC1=NC=NC2=C1N=CN2","1"
"yamogenin","Yamogenin",NA,"441900","C08918","C1CC2(OC1)O1C34CC=C5C(O)CC5(C)4CC3(C)12C","1"
"gabapentin","Gabapentin","HMDB0005015","3446",NA,"NCC1(CC(O)=O)CCCCC1","1"
"ribitol","Ribitol","HMDB0000508",NA,"C00474","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"indolelactic acid","Indolelactic acid","HMDB0000671","676157","C02043","O[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"2-oxoarginine","2-Oxoarginine","HMDB0004225","558","C03771","NC(N)=NCCCC(=O)C(O)=O","1"
"d-glucuronic acid","D-Glucuronic acid","HMDB0000127","444791","C00191","O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O","1"
"citrulline","Citrulline","HMDB0000904","9750","C00327","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"d-glycero-d-galacto-heptitol","D-Glycero-D-galacto-heptitol","HMDB0033750","101748","C08255","OCC(O)C(O)C(O)C(O)C(O)CO","1"
"3-(2-hydroxyphenyl)propanoic acid","3-(2-Hydroxyphenyl)propanoic acid","HMDB0033752","873","C01198","OC(=O)CCC1=CC=CC=C1O","1"
"(r)-5,6-dihydrothymine","(R)-5,6-Dihydrothymine",NA,"254816253","C21028",NA,"1"
"l-malic acid","Malic acid","HMDB0000156","222656","C00149","O[C@@H](CC(O)=O)C(O)=O","1"
"mupirocin","Mupirocin","HMDB0014554","446596","C11758","C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](C\C(C)=C\C(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O","1"
"gluconic acid","Gluconic acid","HMDB0000625","10690","C00257","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"tetrahydrodipicolinate","Tetrahydrodipicolinate","HMDB0012289","440179","C03972","OC(=O)[C@@H]1CCCC(=N1)C(O)=O","1"
"4-quinolinecarboxylic acid","NA","NA","NA","NA","NA","0"
"n-acetyl-l-aspartic acid","N-Acetyl-L-aspartic acid","HMDB0000812","65065","C01042","CC(=O)N[C@@H](CC(O)=O)C(O)=O","1"
"ornithine","Ornithine","HMDB0000214","6262","C00077","NCCC[C@H](N)C(O)=O","1"
"retinoyl b-glucuronide","Retinoyl b-glucuronide","HMDB0003141","5281877","C11061","O[C@@H]1[C@@H](O)[C@@H](O[C@H](C(O)=O)[C@H]1O)OC(=O)\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C","1"
"prostaglandin f2a","Prostaglandin F2a","HMDB0001139","5283078","C00639","CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C\CCCC(O)=O","1"
"(2'e,4'z,8e)-colneleic acid","(2'E,4'Z,8E)-Colneleic acid","HMDB0030995","6441681","C19827","CCCCC\C=C/C=C/O\C=C\CCCCCCC(O)=O","1"
"l-valine","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@H](N)C(O)=O","1"
"l-dopa","DOPA","HMDB0000181","6047","C00355","N[C@@H](CC1=CC=C(O)C(O)=C1)C(O)=O","1"
"acetylphosphate","Acetylphosphate","HMDB0001494","186","C00227","CC(=O)OP(O)(O)=O","1"
"neocnidilide","Neocnidilide","HMDB0034450","5018391","C17002","CCCCC1OC(=O)C2=CCCCC12","1"
"d-galactose","D-Galactose","HMDB0000143","439357","C00124","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"2-heptanone","2-Heptanone","HMDB0003671","8051","C08380","CCCCCC(C)=O","1"
"2,3-butanediol","2,3-Butanediol","HMDB0003156","262","C00265","CC(O)C(C)O","1"
"phosphorylcholine","Phosphorylcholine","HMDB0001565","1014","C00588","C[N+](C)(C)CCOP(O)(O)=O","1"
"n-acetylglutamic acid","N-Acetyl-L-glutamic acid","HMDB0001138","70914","C00624","CC(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"l-aspartic acid","L-Aspartic acid","HMDB0000191","5960","C00049","N[C@@H](CC(O)=O)C(O)=O","1"
"6-hydroxyhexanoic acid","6-Hydroxyhexanoic acid","HMDB0012843","14490","C06103","OCCCCCC(O)=O","1"
"erucic acid","Erucic acid","HMDB0002068","5281116","C08316","CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O","1"
"benzeneacetonitrile","Benzeneacetonitrile","HMDB0034171","8794","C16074","N#CCC1=CC=CC=C1","1"
"2,4-dinitrotoluene","NA","NA","NA","NA","NA","0"
"sphingosine","Sphingosine","HMDB0000252","5280335","C00319","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO","1"
"phenylacetylglutamine","Phenylacetylglutamine","HMDB0006344","92258","C04148","NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O","1"
"azelaic acid","Azelaic acid","HMDB0000784","2266","C08261","OC(=O)CCCCCCCC(O)=O","1"
"n-acetyl-l-glutamate 5-semialdehyde","N-Acetyl-L-glutamate 5-semialdehyde","HMDB0006488","192878","C01250","CC(=O)N[C@@H](CCC=O)C(O)=O","1"
"uric acid","Uric acid","HMDB0000289","1175","C00366","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"catechol","Pyrocatechol","HMDB0000957","289","C00090","OC1=CC=CC=C1O","1"
"hydroquinone","Hydroquinone","HMDB0002434","785","C00530","OC1=CC=C(O)C=C1","1"
"11-dehydrocorticosterone","11-Dehydrocorticosterone","HMDB0004029","13783449","C05490","[H][C@@]12CCC(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"adenine","Adenine","HMDB0000034","190","C00147","NC1=C2NC=NC2=NC=N1","1"
"l-threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@@H](O)[C@H](N)C(O)=O","1"
"hydroxyphenyllactic acid","Hydroxyphenyllactic acid","HMDB0000755","9378","C03672","OC(CC1=CC=C(O)C=C1)C(O)=O","1"
"2-isopropylmalic acid","2-Isopropylmalic acid","HMDB0000402","5280523","C02504","CC(C)[C@@](O)(CC(O)=O)C(O)=O","1"
"salidroside","NA","NA","NA","NA","NA","0"
"citramalic acid","Citramalic acid","HMDB0000426","1081","C00815","CC(O)(CC(O)=O)C(O)=O","1"
"choline","Choline","HMDB0000097","305","C00114","C[N+](C)(C)CCO","1"
"1-aminocyclopropanecarboxylic acid","1-Aminocyclopropanecarboxylic acid","HMDB0036458","535","C01234","NC1(CC1)C(O)=O","1"
"withaferin a","Withaferin A","HMDB0259897","580064","C08841","CC(C1CCC2C3CC4OC44C(O)C=CC(=O)C4(C)C3CCC12C)C1CC(C)=C(CO)C(=O)O1","1"
"13,14-dihydro-15-keto-pge2","13,14-Dihydro-15-keto-PGE2","HMDB0002776","5280711","C04671","CCCCCC(=O)CC[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O","1"
"deoxyinosine","Deoxyinosine","HMDB0000071","65058","C05512","OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O","1"
"glutaric acid","Glutaric acid","HMDB0000661","743","C00489","OC(=O)CCCC(O)=O","1"
"n-acetylneuraminic acid","N-Acetylneuraminic acid","HMDB0000230","445063","C19910","[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO","1"
"9-oxoode","9-OxoODE","HMDB0004669","9839084","C14766","CCCCC\C=C/C=C/C(=O)CCCCCCCC(O)=O","1"
"5-(methylthio)-2,3-dioxopentyl phosphate","5-(Methylthio)-2,3-dioxopentyl phosphate","HMDB0059620","561","C15650","CSCCC(=O)C(=O)COP(O)(O)=O","1"
"guanine","Guanine","HMDB0000132","764","C00242","NC1=NC(=O)C2=C(N1)N=CN2","1"
"diethylphosphoric acid","Diethylphosphate","HMDB0012209","654","C06608","CCOP(O)(=O)OCC","1"
"all-trans-retinoic acid","all-trans-Retinoic acid","HMDB0001852","444795","C00777","C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O","1"
"methyl jasmonate","Methyl jasmonate","HMDB0036583","5367719","C11512","CC\C=C/C[C@@H]1[C@@H](CC(=O)OC)CCC1=O","1"
"1-hydroxy-2-naphthoate","1-Hydroxy-2-naphthoate","METPA0374",NA,"C03203",NA,"1"
"l-phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"pentadecanoic acid","Pentadecanoic acid","HMDB0000826","13849","C16537","CCCCCCCCCCCCCCC(O)=O","1"
"l-lactic acid","Lactic acid","HMDB0000190","107689","C00186","C[C@H](O)C(O)=O","1"
"d-synephrine","D-synephrine","HMDB0062811","854067","C01869","CNC[C@H](O)C1=CC=C(O)C=C1","1"
"sulfate","Sulfate","HMDB0001448","1117","C00059","OS(O)(=O)=O","1"
"l-glutamic gamma-semialdehyde","L-Glutamic gamma-semialdehyde","HMDB0002104","193305","C01165","N[C@@H](CCC=O)C(O)=O","1"
"aniline","Aniline","HMDB0003012","6115","C00292","NC1=CC=CC=C1","1"
"bupropion","Bupropion","HMDB0001510","444","C06860","CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1","1"
"anhalamine","NA","NA","NA","NA","NA","0"
"thymine","Thymine","HMDB0000262","1135","C00178","CC1=CNC(=O)NC1=O","1"
"butyric acid","Butyric acid","HMDB0000039","264","C00246","CCCC(O)=O","1"
"n-acetyl-d-glucosamine","N-Acetyl-D-glucosamine","HMDB0000215","439174","C00140","CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"5-oxoavermectin ''1b'' aglycone","5-Oxoavermectin ''1b'' aglycone",NA,"14123","C11962",NA,"1"
"hypoxanthine","Hypoxanthine","HMDB0000157","790","C00262","OC1=NC=NC2=C1NC=N2","1"
"abscisic aldehyde","Abscisic aldehyde","METPA1110",NA,"C13455",NA,"1"
"(s)-piperidine-2-carboxamide","NA","NA","NA","NA","NA","0"
"5'-oxoinosine","NA","NA","NA","NA","NA","0"
"sphinganine","Sphinganine","HMDB0000269","91486","C00836","CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO","1"
"l-cysteine","L-Cysteine","HMDB0000574","5862","C00097","N[C@@H](CS)C(O)=O","1"
"2-keto-6-acetamidocaproate","2-Keto-6-acetamidocaproate","HMDB0012150","194080","C05548","CC(=O)NCCCCC(=O)C(O)=O","1"
"ethylmethylacetic acid","Ethylmethylacetic acid","HMDB0002176","8314","C18319","CCC(C)C(O)=O","1"
"theobromine","Theobromine","HMDB0002825","5429","C07480","CN1C=NC2=C1C(O)=NC(=O)N2C","1"
"(r)-3-ureidoisobutyrate","(R)-3-Ureidoisobutyrate",NA,"254816254","C21029",NA,"1"
"suberic acid","Suberic acid","HMDB0000893","10457","C08278","OC(=O)CCCCCCC(O)=O","1"
"alpha-d-glucose","alpha-D-Glucose","HMDB0003345","79025","C00267","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"erythro-3-hydroxy-ls-aspartate","NA","NA","NA","NA","NA","0"
"vanillylmandelic acid","Vanillylmandelic acid","HMDB0000291","736172","C05584","COC1=C(O)C=CC(=C1)[C@H](O)C(O)=O","1"
"d-xylitol","D-Xylitol","HMDB0002917","6912","C00379","OC[C@H](O)[C@@H](O)[C@H](O)CO","1"
"l-arginine","L-Arginine","HMDB0000517","6322","C00062","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"s-hexyl-glutathione","NA","NA","NA","NA","NA","0"
"3-methyl-l-tyrosine","NA","NA","NA","NA","NA","0"
"phenylacetic acid","Phenylacetic acid","HMDB0000209","999","C07086","OC(=O)CC1=CC=CC=C1","1"
"lysopa(16:0/0:0)","NA","NA","NA","NA","NA","0"
"dammarenediol ii","Dammarenediol II",NA,"135626296","C19829",NA,"1"
"nalbuphine","Nalbuphine","HMDB0014982","5311304","C07251","O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5","1"
"sinapyl alcohol","Sinapyl alcohol","HMDB0013070","5280507","C02325","COC1=CC(\C=C\CO)=CC(OC)=C1O","1"
"inosine","Inosine","HMDB0000195","6021","C00294","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12","1"
"1d-myo-inositol 1,4,5,6-tetrakisphosphate","D-myo-Inositol 1,4,5,6-tetrakisphosphate","HMDB0004527","443266","C11555","O[C@H]1[C@@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@@H]1OP(O)(O)=O","1"
"1-palmitoylglycerophosphocholine","NA","NA","NA","NA","NA","0"
"sucrose","Sucrose","HMDB0000258","5988","C00089","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"3-(3,4-dihydroxyphenyl)pyruvate","3-(3,4-Dihydroxyphenyl)pyruvate","METPA0460",NA,"C04045",NA,"1"
