database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L40	L41	L42	L43	L44	L45	L46	L47	L48	L49	L50	L51	L52	L53	L54	L55	L56	L57	L58	L59	L60	L61	L62	L63	L64	L65	L66	L67	L68	L69	L70	L71	L72	L73	L74	L75	L76	L77	L78	L79	L80
CHEBI:16319	C7H11NO4	CC(=O)N[C@@H](CCC=O)C(O)=O	InChI=1S/C7H11NO4/c1-5(10)8-6(7(11)12)3-2-4-9/h4,6H,2-3H2,1H3,(H,8,10)(H,11,12)/t6-/m0/s1	N-Acetyl-L-glutamate 5-semialdehyde	173.0708284		[M]-		423.5235	9606	Homo sapiens										1840294.37	1389333.733	1126758.256	552769.3658	1295533.658	994739.4257	1291934.437	1170874.164	1125253.933	632972.2033	962334.589	1135805.365	1765558.995	967513.301	1292392.483	1896206.608	887707.6454	999034.1448	722331.6396	2113543.99	1246034.443	1148967.888	2826264.22	1007140.68	1873343.849	1379221.589	385086.3419	1342798.114	652429.5881	727832.9939	1920406.329	1397263.475	2113097.491	2137433.109	1154107.803	920344.8386	1049777.087	1418018.642	1070837.074	893756.9179	718800.2217	1145172.102	1396299.722	1317643.607	1430972.017	723149.7935	1491018.08	1340972.58	1751061.801	1147820.624	995929.4105	1467532.624	638971.5221	1331473.487	1188553.738	847788.543	2717195.156	925113.2565	379040.2985	72916.8162	3469255.131	5422490.903	8367930.558	6762127.651	5176107.441	4993694.282	7877732.197	4923733.272	3797625.866	3753154.42	3262553.709	3275044.602	2204890.737	2488417.437	2622252.872	2453465.805	1844037.657	2681259.442	2166015.54	1071994.43
CHEBI:35697	C9H8O2	OC(=O)\C=C\c1ccccc1	InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/b7-6+	trans-Cinnamate	148.0597818		[M]-		657.708	9606	Homo sapiens										10318564.03	20655024.95	7514688.551	15779328.04	9995609.662	4987564.64	5755853.029	7171651.68	534105.3976	5597040.269	6308228.653	1578957.71	4694765.833	6592069.711	4759012.653	4568172.581	1336312.296	5608249.28	3385486.487	8722087.16	4721670.803	4844095.346	5970146.391	1182645.934	9902548.792	270209.855	5552339.84	3071997.089	3561498.329	4326579.323	5888077.764	6685746.603	6776725.003	6739045.662	4454305.426	3801378.433	1099178.889	1081094.308	3979526.044	6372503.39	26315696.56	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616
CHEBI:18183	C5H7NO3	OC(=O)[C@@H]1CCC(=O)N1	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1	Pyroglutamic acid	128.033134		[M-H]-		91.3379	9606	Homo sapiens										451466447.3	394761619.9	504104826	819745622.8	723867951.8	705345712.7	1053982024	681982541.9	539665934.8	573958612.4	685709930.8	495151690.9	494869396	587106945	593364000.3	1216407346	1045904236	1004230609	461004554.5	592239443.7	773256324	373663083.2	800446945.9	303231190.5	349513557.1	265756050.2	959235386.7	501877779.6	343264418.4	518057147.3	580694550.5	90539455.58	652521912.9	298714206.4	499053357.8	228453033.9	398072626.3	284576923.7	210969570.7	174684237.3	294053381.1	150380005.5	242266052.7	744375741.9	261586123.7	464586642.7	464899389.6	118961426.1	133909140.6	129219917.6	572951330.3	212469444.8	195728633.9	661896655	571916702.7	369319454.5	570079586.5	1370583533	10.63188616	10.63188616	43628926.55	24993764.81	23898040.4	30549190.77	62157420.78	80976222.29	14244191.04	35571727.1	53488475.17	80009398.64	33502496.3	62018940.68	118577761.4	27985746.83	35072478.97	122872418	83952583.14	50864915.99	169660326.1	214975711.2
CHEBI:17895	C9H11NO3	N[C@@H](Cc1ccc(O)cc1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	L-Tyrosine	180.0650812		[M-H]-		147.477	9606	Homo sapiens										151240078.7	149063088.3	152546552.8	132393377.3	123510814.3	125094166.5	172659876.5	120558715	91765477.22	125317983.4	228265344.6	140407200.2	142617953	133274264.8	94050024.37	227450237.1	182955138.9	191267390.8	76936027.83	200274368.6	282745902	270600602	360527836.8	129579551.4	234184528.7	133465188.3	369740909	242157281.1	216361173.6	260854872.3	285224400.7	167240123.2	188829924.1	344961611.3	261005035.5	174259094.5	119735310.9	353832286	138032440.8	160238951.5	169543777.3	119207265.4	80998103.08	125915438.8	96588970.84	148635156.1	159786907.7	237755615	147051744.1	163193588.3	126350050.5	117898011.6	83806295.28	168977345	122278516.4	171373495.6	127329635.1	113744997.7	52401978.21	11347278.95	27976821.35	30338571.63	40640339.18	25280171.51	20705080.96	30540179.97	27574823.67	34053263.37	44662644.29	21269051.2	47249626.48	43806894.98	29506573.63	44273377.46	25791817.56	36615289.45	44936314.96	52757594.94	57100201.2	63587984.84
CHEBI:36274	C26H43NO5	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC(=O)NCC(O)=O	InChI=1S/C26H43NO5/c1-15(4-7-22(30)27-14-23(31)32)18-5-6-19-24-20(9-11-26(18,19)3)25(2)10-8-17(28)12-16(25)13-21(24)29/h15-21,24,28-29H,4-14H2,1-3H3,(H,27,30)(H,31,32)/t15-,16+,17-,18-,19+,20+,21-,24+,25+,26-/m1/s1	Glycochenodeoxycholic acid	448.0553835		[M-H]-		656.1095	9606	Homo sapiens										26326.78938	71417.92082	119828.4508	31821.48935	3850206.599	36986.7675	106360.2181	11329.40731	85649.74836	532974.13	212847.6418	197266.7587	133213.8619	3256.741732	206495.5418	78061.25193	137068.1232	11743.22852	35519.71983	16339.19163	127446.21	6458.03461	384267.6704	17008.41524	371962.6603	124707.1704	95872.41949	230398.349	299905.8956	239901.3309	393554.1884	343051.5301	67514.63369	833852.0938	27230.56679	20288.192	101841.8553	427812.4532	31503.32906	109118.9723	46817.37093	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	304227.9145	6389.823932	5175.232265	69789.32864	176581.8805	8669.235215	66400.13689	11801.35298	223228.9465	13113.21851	10864.34113	141810.3529	37634.43272	114474.664	5023.625488	91802.81896	80106.22781	101354.6942	96815.4937	116591.5548
CHEBI:24266	C6H11O7			Gluconic acid	195.0493832		[M-H]-		79.86335	9606	Homo sapiens										72090783.15	91802817.32	43811952.85	176325605.6	218957350.9	74697337.37	82733161.05	180841837.9	183727419.9	74893591.26	129414360	179963998.3	322130084.2	118845136	123684929.8	96640419.22	185392814.3	57293518.2	100823940.8	97449435.98	16948141.51	19544355.53	44858064.8	71644583.31	57948478.65	44898600.53	20114324	47117919.04	22779847.82	147234712	48151491.3	67196323.49	61313443.23	20355549.03	79712496.27	73210209.69	39480017.81	36155762.02	41091620.83	170993395.9	151912807.2	29273726.92	71441145.3	30191749	29529032.19	19133250.07	21452240.81	39957368.93	31850535.51	40681544.28	30182192.91	34645222.51	30870745.21	22850883.87	17621391.42	44525400.79	84751381.44	28234404.88	18862014.25	13255103.64	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	371885559.7	98284053.04
CHEBI:15756	C16H32O2	CCCCCCCCCCCCCCCC(O)=O	InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)	Palmitic acid	255.2313742		[M-H]-		835.58	9606	Homo sapiens										31283681.08	62020469.44	69133974.75	45809386.07	49610088.95	60446043.46	56527973.57	84769138	102129129.8	66276359.58	49617806.37	67258666.79	95756208.01	79797827.32	39534454.85	113155167.1	31053201.14	67946068.6	130272873.4	100240787.8	77794665.12	53646706.32	119637264.9	146698355.2	122137139.1	136447408.9	82426262.38	142009926.1	173492309	70073784.1	131899875.9	106008641.4	81769649.98	102005016.5	82188789.17	68417181.66	40833092.77	49083899.63	62055514.22	41819491	49225293.01	58210586.02	51328381.06	57742959.38	54402871.19	49200533.07	55621465.89	54112644.43	47077352.18	61271285.63	75994053.97	72612216.36	67815941.19	68039708.28	59197144.63	60049495.83	58343752.45	21763051.48	39998591.21	31526146.66	55316104.44	47145555.86	60986035.52	68881477.85	67300297.59	26461582.93	50664342.33	25736557.24	48326895.39	57110326.48	51295434.95	21687972.44	58036029.88	68864459.33	65201228.97	67897298.38	70965889.96	35136875.24	43437246.08	56816005.54
CHEBI:28946	C7H8N4O2	Cn1cnc2n(C)c(=O)[nH]c(=O)c12	InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)	Theobromine	179.9875379		[M]-		836.458	9606	Homo sapiens										4392479.448	35186312.99	27069840.01	18139997.09	21613612.06	17255239.03	28706790.75	33295802.39	25209995.19	18245766.02	24959521.94	6083460.699	36867099.26	35342639.69	25899362.4	20971393.65	19002517.48	45250848.4	28519710.95	19296527.23	26371454.23	35183992.18	45230179.37	30974977.04	47933332.19	42702379.62	29786970.75	46864949.97	46474301.39	45859996.11	7050128.201	31404374.68	44715163.11	22063220.14	44886046.99	21413321.7	25912418.63	21397033.16	23602793.78	21482318.69	32323172.15	36596514.85	35153798.75	12408302.83	13848568.85	35245246.06	27437074.48	24369712.9	26545182.48	18949814.78	20074919.71	15897275	19805362.61	15346656.58	29287395.7	17677719.08	11218888.67	20205416.76	14796156.37	6036109.234	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	144391905.7	48580782.87
CHEBI:28689	C19H28O2	[H][C@@]12CC=C3C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=O)CC[C@@]21[H]	InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-16,20H,4-11H2,1-2H3/t13-,14-,15-,16-,18-,19-/m0/s1	Dehydroepiandrosterone	269.2109388		[M-H2O-H]-		837.188	9606	Homo sapiens										29568450.2	22931430.94	18786966.54	25731519.31	42903874.15	31915932.95	47380834.34	30570664.55	28601889.62	14669330.57	20120190.22	15186195.36	86612571.36	36977623.2	28227913.6	36760722.36	23735894.85	23566789.62	41306679.16	24718992.84	26177495.95	39991817.34	34275569.21	30698696.42	25627255.58	32120695.69	38896090.21	33933098.32	24545837.74	17094830.36	11112855.41	14359852.45	24606978.48	17840063.92	18148650.53	23832145.6	17850117.03	31414265.46	35891713.46	13636580.6	4868350.791	25960442.98	20010439.83	17025440.67	30691505.97	20746728.88	27858085.73	29482360.77	20034731.67	53482693.56	25814848.78	19576891.61	25168197.71	20723871.81	31683485.54	16161129.2	12643540.29	30726796.78	13584411.14	15557702.28	56904212.55	75696224.42	55057083.76	37414117.35	49026389.35	68978557.32	23350029.75	76831228.65	58874965.25	48014364.24	37949220.43	30528446.25	47896829.84	29850791.97	21949634.53	34104478.08	36227342.05	28345809.43	23050517.98	26514528.24
CHEBI:4178	C6H10O7			D-Glucuronic Acid	193.0341124		[M-H]-		78.3212	9606	Homo sapiens										20489853.5	16124492.64	45269861.76	25793346.82	22934136.6	50539112	17285762.29	22959731.83	23774876.26	18447798.12	29727605.87	35509430.71	52425704.82	34549449.53	23702146.7	19136573.63	40341717.14	38668548.88	19096064.42	29112350.98	15180557.25	34882942.56	21031623.37	19577455.75	21907459.64	22272584.92	79477272.91	43564195.77	30401977.48	26498010.49	11186899.69	19465122.7	9380467.487	15884573.63	12639795.07	30399579.88	13039450	19768303.45	16657826.32	38048096.96	31060664.26	13277026.39	60936631.47	23750032.92	24778834.25	22519371.64	18527372.18	21906062.47	21300065.59	25029001.62	14915479.77	21461168.18	15376602.12	12436177.2	14046877.06	15394593.27	10950284.66	10221334.72	21001767.3	4507136.111	25624342.1	11470980	5775751.54	8718841.164	8871584.108	8512004.058	20532737.87	15438744.29	7312472.182	6211653.378	12510135.17	13012468.82	7832078.257	9284657.649	12794699.69	13455902.81	11293816.09	11250494	9998189.992	9847084.917
CHEBI:50048	C8H11N			Phenylethylamine	121.0271467		[M]-		376.1805	9606	Homo sapiens										3417461.339	15763579.28	3979760.992	4352851.153	25125685.75	58954506.31	20771567.7	12530236.46	5842165.625	29466906.98	6345793.243	30838331.68	27517709.58	2197843.131	7057305.798	26607421.31	14234257.57	21257303.24	17979799.26	21248882.11	4611453.302	26630482.15	5342277.501	4969153.533	28807672.05	29616993.55	11555160.1	39957698.2	18802543.53	19689317.69	11249674.38	12140679.65	11450560.19	7413359.021	8117559.935	10063942.15	10180111.06	14976087.45	8561162.221	22553968.19	14814752.35	16192843.82	16341323.82	178747229.5	17156805.12	49397842.77	17786464.93	18329053.3	18223701.21	161357655.1	73510518.15	106859045.9	23178490.35	71237812.53	20869709.7	102977636.2	22912975.47	23230127.99	173275807.9	116069846.4	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616	10.63188616
